"시점",총지수,식료품 및 비주류음료,식료품 및 비주류음료,식료품 및 비주류음료,주류·담배,주류·담배,주류·담배,의복·신발,의복·신발,의복·신발,주택·수도·전기 및 연료,주택·수도·전기 및 연료,주택·수도·전기 및 연료,주택·수도·전기 및 연료,주택·수도·전기 및 연료,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,보건,보건,보건,보건,교통,교통,교통,교통,통신,통신,통신,통신,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,교육,교육,교육,교육,음식 및 숙박,음식 및 숙박,음식 및 숙박,기타 상품 및 서비스,기타 상품 및 서비스,기타 상품 및 서비스,기타 상품 및 서비스
"시점",소계,소계,식료품,비주류음료,소계,주류,담배,소계,의류,신발,소계,주택임차료,주거시설 유지·보수,수도 및 주거관련 서비스,전기가스 및 기타연료,소계,가구·가사비품 및 카페트,가정용 섬유제품,가정용 기기,주방용품 및 가정용품,가정·정원용 공구 및 장비,일상 생활용품 및 가사서비스,소계,의료용품 및 장비,외래환자 서비스,병원서비스,소계,운송장비,개인운송장비 운영,운송서비스,소계,우편서비스,전화 및 팩스장비,전화 및 팩스서비스,소계,음향·영상·사진 및 정보처리 장비,기타 오락 및 문화용 주요내구재,기타 오락용품·조경용품 및 애완동물,오락 및 문화서비스,신문·서적 및 문방구,단체여행,소계,유치원 및 초등교육,고등교육,기타교육,소계,음식서비스,숙박서비스,소계,미용용품 및 미용서비스,기타 개인용품,기타 서비스
"2021. 06",101.68,104.08,104.24,102.01,100.82,101.97,100.00,100.46,100.29,101.48,101.33,101.45,104.99,103.65,97.45,100.94,102.15,101.20,99.17,99.95,106.36,101.91,99.63,97.41,101.56,99.45,104.09,101.17,108.54,100.88,98.98,100.00,91.75,100.96,99.82,97.56,100.56,99.41,101.26,99.76,97.63,101.06,96.98,99.75,101.54,102.42,102.62,97.49,101.61,100.09,99.56,104.31
"2021. 07",101.88,104.33,104.42,103.13,100.82,101.98,100.00,100.45,100.28,101.48,100.75,101.56,105.93,104.63,91.01,101.84,105.73,101.20,99.64,99.24,106.38,102.55,99.79,97.82,101.56,99.45,105.28,101.45,110.82,101.39,98.97,100.00,91.75,100.96,100.82,97.55,100.77,99.07,102.12,100.44,106.68,101.13,96.98,99.75,101.64,103.09,102.97,106.20,101.53,99.87,99.86,104.27
"2021. 08",102.33,105.82,106.04,102.82,100.95,102.27,100.00,100.49,100.32,101.50,101.00,101.75,106.14,105.52,91.05,102.35,106.13,101.20,99.59,101.15,106.68,103.61,99.75,97.71,101.56,99.45,106.03,101.51,112.42,101.60,98.99,100.00,91.75,100.97,101.33,97.60,102.15,98.79,102.26,100.47,113.88,101.25,96.98,99.75,101.79,103.33,102.99,111.66,101.81,100.35,100.17,104.27
"2021. 09",102.67,107.42,107.65,104.38,100.98,102.35,100.00,100.50,100.33,101.53,101.98,101.96,106.47,104.42,98.57,102.31,109.76,101.20,99.31,95.48,106.86,103.27,99.51,97.69,101.56,97.84,105.65,101.29,111.98,101.22,99.00,109.99,91.75,100.96,100.63,97.55,102.73,99.77,101.69,100.52,104.20,101.34,96.98,99.75,101.91,103.21,103.28,101.40,101.59,100.49,97.91,104.27
"2021. 10",102.90,106.66,106.89,103.62,100.97,102.33,100.00,100.61,100.67,100.26,102.56,102.19,106.77,106.41,99.79,103.24,109.93,101.20,99.71,100.35,106.42,104.59,99.42,97.46,101.56,97.84,106.89,102.46,114.50,101.01,98.53,109.99,89.52,100.97,100.66,97.97,103.37,99.92,101.67,100.74,102.81,101.43,96.98,99.75,102.03,103.70,103.79,101.42,101.80,101.45,98.04,103.53
"2021. 11",103.20,106.78,106.98,104.09,100.85,102.04,100.00,101.79,101.77,101.94,102.64,102.51,107.43,105.12,99.82,103.40,110.80,101.20,99.84,100.33,106.55,104.47,99.55,97.81,101.55,97.84,108.42,102.59,118.09,101.09,99.69,109.99,94.85,100.99,100.41,97.72,103.08,99.90,101.96,100.61,98.17,101.41,96.98,99.75,102.00,104.14,104.36,98.77,101.27,100.35,98.10,103.53
"2021. 12",103.32,106.82,106.96,104.85,100.74,101.77,100.00,101.87,101.84,102.11,102.85,102.68,107.72,105.63,99.89,104.14,111.92,101.05,99.74,105.45,107.96,104.85,99.51,97.71,101.55,97.84,106.83,103.33,113.60,101.32,99.70,109.99,94.85,101.01,100.88,98.23,103.76,100.87,101.98,101.28,99.57,101.45,96.98,99.75,102.05,104.81,104.93,101.92,102.28,102.02,99.43,103.58
"2022. 01",104.09,108.36,108.56,105.67,101.04,102.73,100.00,102.19,102.09,102.71,103.33,102.79,108.08,107.43,100.12,104.30,113.44,101.74,99.55,102.63,109.71,105.14,100.60,97.77,103.51,99.78,106.66,104.07,113.05,100.52,99.71,109.99,94.95,101.00,101.45,97.49,103.51,101.70,102.27,102.11,107.01,101.79,96.97,99.75,102.54,105.86,105.95,103.15,104.30,102.75,98.35,108.75
"2022. 02",104.70,109.05,109.19,107.27,101.75,104.35,100.00,102.32,102.12,103.42,104.07,102.93,108.80,112.41,100.14,104.66,112.19,101.84,99.48,106.89,110.06,105.86,100.60,97.78,103.52,99.68,107.89,104.22,116.18,100.47,99.73,109.99,94.95,101.01,100.89,97.44,99.57,101.98,102.59,102.29,103.00,102.11,96.97,99.75,102.93,106.95,107.24,100.91,106.11,105.90,99.27,108.81
"2022. 03",105.09,109.18,109.36,106.90,102.55,106.16,100.00,102.39,102.19,103.47,103.94,103.01,109.92,110.61,100.20,103.79,112.43,95.78,99.08,104.90,110.95,104.88,100.30,97.57,103.52,97.30,112.11,104.29,126.60,100.86,99.51,109.99,94.05,101.00,101.45,97.33,100.50,104.05,103.02,102.21,102.73,102.26,78.40,99.14,103.91,107.63,108.10,98.31,105.94,105.32,100.17,108.84
